ds,o_meat_beef,h_meat_beef,l_meat_beef,y,inflation_meat_beef
2021-11-01,117929.9015625,119093.8759375,117121.68359375,118470.53953125,3.10765625
2021-12-01,118521.76515625,119580.49515625,117707.34125,118976.4025,3.3381250000000002
2022-01-01,119034.12875,120163.51375,118260.13171875,119506.5528125,3.64
2022-02-01,119533.27359375,120678.57765625,118728.68140625,120020.04375,3.79421875
2022-03-01,120063.80125,121407.06421875,119246.92390625,120773.5371875,4.36953125
2022-04-01,120875.765625,122508.43234375,119925.5203125,122007.816875,5.05
2022-05-01,122042.92890625,123784.1859375,120789.23890625,122833.20515625,4.97453125
2022-06-01,122912.006875,124540.00109375,121832.16265625,123774.93062500001,5.96828125
2022-07-01,123799.356875,125246.0378125,122588.21921875,124274.6140625,6.16140625
2022-08-01,124296.70109375,125571.0490625,122979.14875,124259.9646875,6.0240625
2022-09-01,124193.34578125,125284.18984375,122951.0684375,123870.6459375,5.50125
2022-10-01,123786.400625,124758.068125,122487.764375,123238.004375,4.56828125
2022-11-01,123181.58890625,124221.97828125,121995.7103125,122836.9009375,3.72390625
2022-12-01,122767.88249999999,123661.71515625,121796.7859375,122668.7365625,3.1203125
2023-01-01,122705.301875,123545.94796875,121898.36875,122761.6515625,2.76234375
2023-02-01,122827.858125,123750.7878125,121527.63453125,122385.620625,2.07234375
2023-03-01,122420.96968750001,123401.541875,121616.05171875,122697.035,1.72921875
2023-04-01,122743.88515625,124068.94421875,121874.7940625,123328.833125,1.33515625
2023-05-01,123352.3971875,124277.70171875,122222.3665625,123028.1475,0.5093749999999999
2023-06-01,123059.22750000001,124128.85109375,122081.94609375,123226.6621875,-0.075625
2023-07-01,123240.32921875,124569.5125,122220.29796875,123564.669375,-0.22203125
